GridID,NR,SR,E,TP
1,6,4,0.1065337,0
2,188,19,7.2355676,0.0526316
3,45,19,1.460484,0.0526316
4,71,23,2.8734658,0.0434783
5,10,8,0.2661053,0
6,15,11,0.4416106,0
7,20,14,0.9410153,0.0714286
8,105,24,3.822547,0.0416667
9,75,20,2.1004765,0
10,132,23,5.4068341,0.0869565
11,63,19,2.3415942,0.0526316
12,46,22,2.2506375,0.0909091
13,103,20,3.8709562,0.05
14,14,8,0.2827473,0
15,2,2,0.0391207,0
16,17,13,0.343239,0
17,23,15,0.5910237,0
18,3,3,0.114106,0
19,10,10,0.2555939,0
20,41,16,1.0722032,0
21,7,5,0.1320623,0
22,49,23,1.9190073,0.0434783
23,64,24,4.2382116,0.0833333
24,5,4,0.085938,0
25,14,10,0.3208008,0
26,8,8,0.156157,0
27,1,1,0.0232558,0
28,2,2,0.0347852,0
29,8,8,0.4589632,0
30,21,12,0.6425688,0
31,11,7,0.2767385,0
32,9,8,0.3529344,0
33,26,14,0.836799,0.0714286
34,34,13,2.6915164,0
35,0,0,0,0
36,10,8,0.2071326,0
37,3,3,0.2028686,0
38,1,1,0.0232558,0
39,0,0,0,0
40,2,2,0.0708749,0
41,48,20,1.3693752,0
42,23,14,0.6161234,0
43,9,7,0.177888,0
44,26,16,0.8086914,0.0625
45,11,9,0.2209047,0
46,0,0,0,0
47,23,12,0.4934194,0
48,1,1,0.0232558,0
49,11,9,0.2408095,0
50,31,19,0.7883313,0
51,65,23,3.9994335,0.0434783
52,27,16,0.733448,0
53,16,12,0.5270284,0
54,25,15,0.8259327,0.0666667
55,6,5,0.1276012,0
56,6,6,0.1771895,0
57,1,1,0.0149254,0
58,13,12,0.3100032,0
59,52,16,1.0774425,0
60,7,4,0.1198006,0
61,14,6,0.6174402,0
62,46,18,2.1525168,0
63,0,0,0,0
64,0,0,0,0
65,12,9,0.3245881,0
66,6,6,0.2470746,0.1666667
67,6,5,0.1148277,0
68,31,12,0.6104475,0
69,43,15,0.9459991,0
70,2,1,0.0344828,0
71,4,4,0.0785202,0
72,108,20,5.1973729,0.05
73,17,9,0.8877312,0.1111111
74,24,19,2.2849362,0.0526316
75,1,1,0.0163934,0
76,0,0,0,0
77,45,15,1.9809004,0.0666667
78,60,20,2.6998837,0.05
79,1,1,0.0714286,0
80,0,0,0,0
81,92,25,4.859282,0.04
82,2,2,0.0521077,0
83,2,2,0.0506397,0
84,58,18,2.0054924,0.1111111
85,159,30,10.655757,0.1
86,0,0,0,0
87,48,22,3.0995448,0.0454545
88,34,14,1.2358207,0.0714286
89,18,11,0.568881,0
90,0,0,0,0
91,13,12,0.9435577,0.0833333
92,15,13,0.9403256,0
93,10,10,0.4073475,0.1
